,<TICKER>,<DATE>,<OPEN>,<CLOSE>,<HIGH>,<LOW>,<VOL>
0,AFLT,2021-01-11,73.36,74.02,74.56,72.68,25748900
1,AFLT,2021-01-12,74.04,74.04,74.54,73.12,16551510
2,AFLT,2021-01-13,74.04,73.52,74.38,72.92,13411220
3,AFLT,2021-01-14,73.5,73.22,73.76,72.74,14620390
4,AFLT,2021-01-15,73.2,72.36,73.6,72.08,14511810
5,AFLT,2021-01-16,72.3,72.3,72.42,72.2,198990
6,AFLT,2021-01-18,72.4,72.7,73.0,72.22,9973510
7,AFLT,2021-01-19,72.68,73.84,74.3,72.66,24163360
8,AFLT,2021-01-20,73.84,73.62,74.28,73.3,12891980
9,AFLT,2021-01-21,73.58,72.54,73.98,72.24,13279910
10,AFLT,2021-01-22,72.52,71.86,72.74,71.12,17687830
11,AFLT,2021-01-23,71.9,71.84,71.96,71.84,186430
12,AFLT,2021-01-25,72.18,71.08,72.46,70.2,25906830
13,AFLT,2021-01-26,71.06,70.8,71.14,70.22,15370690
14,AFLT,2021-01-27,70.8,70.04,71.16,69.72,20274760
15,AFLT,2021-01-28,70.04,70.9,71.1,69.12,40927480
16,AFLT,2021-01-29,70.84,69.96,71.1,69.72,16079440
17,AFLT,2021-01-30,69.94,69.88,69.96,69.82,189930
18,AFLT,2021-02-01,70.28,70.24,70.56,69.38,10648110
19,AFLT,2021-02-02,70.24,70.16,71.04,69.74,13344350
20,AFLT,2021-02-03,70.14,70.56,70.92,70.06,12094560
21,AFLT,2021-02-04,70.54,70.54,71.08,70.3,9501870
22,AFLT,2021-02-05,70.52,70.8,71.08,70.38,11230880
23,AFLT,2021-02-06,70.78,70.82,70.84,70.74,200200
24,AFLT,2021-02-08,71.0,71.1,71.46,70.62,19355370
25,AFLT,2021-02-09,71.1,70.42,71.28,70.0,20424800
26,AFLT,2021-02-10,70.44,69.36,70.6,68.3,29867100
27,AFLT,2021-02-11,69.38,68.9,69.46,68.64,12007990
28,AFLT,2021-02-12,68.82,69.26,69.4,68.04,15668860
29,AFLT,2021-02-13,69.24,69.28,69.32,69.14,140180
30,AFLT,2021-02-15,69.48,69.6,69.8,68.82,16229880
31,AFLT,2021-02-16,69.6,69.2,69.76,68.82,17771310
32,AFLT,2021-02-17,69.2,69.24,69.68,68.96,21315100
33,AFLT,2021-02-18,69.24,68.84,69.4,68.64,14434210
34,AFLT,2021-02-19,68.84,69.04,69.16,68.66,15273960
35,AFLT,2021-02-20,69.04,69.12,69.28,68.9,3126420
36,AFLT,2021-02-21,69.12,69.14,69.16,69.1,34350
37,AFLT,2021-02-22,69.1,69.2,69.54,68.94,10479310
38,AFLT,2021-02-23,69.18,69.2,69.26,69.14,198050
39,AFLT,2021-02-24,69.12,70.16,71.06,68.8,27485250
40,AFLT,2021-02-25,70.16,69.74,70.74,69.56,13085320
41,AFLT,2021-02-26,69.74,69.5,70.14,68.9,12651090
42,AFLT,2021-02-27,69.5,69.66,69.68,69.48,157160
43,AFLT,2021-03-01,69.92,70.04,70.4,69.52,11007910
44,AFLT,2021-03-02,70.04,70.92,71.06,69.78,18481500
45,AFLT,2021-03-03,70.88,70.76,71.7,70.1,22402660
46,AFLT,2021-03-04,70.76,69.58,70.8,69.2,14467420
47,AFLT,2021-03-05,69.6,69.24,69.84,68.72,17446350
48,AFLT,2021-03-06,69.22,69.28,69.3,69.18,255840
49,AFLT,2021-03-09,69.58,69.6,69.9,69.06,13826710
50,AFLT,2021-03-10,69.64,69.86,70.28,69.4,13290510
51,AFLT,2021-03-11,69.86,69.86,70.12,69.4,13350110
52,AFLT,2021-03-12,69.86,69.88,70.12,69.4,11866220
53,AFLT,2021-03-13,69.88,69.86,69.9,69.84,167280
54,AFLT,2021-03-15,70.16,70.66,71.06,69.84,19648790
55,AFLT,2021-03-16,70.64,70.54,71.54,70.02,19902140
56,AFLT,2021-03-17,70.52,70.04,70.72,69.28,16840060
57,AFLT,2021-03-18,70.04,68.98,70.12,68.14,13057520
58,AFLT,2021-03-19,68.98,69.74,70.1,68.76,12207210
59,AFLT,2021-03-20,69.78,69.8,69.92,69.68,138260
60,AFLT,2021-03-22,69.8,69.24,70.0,69.0,9662560
61,AFLT,2021-03-23,69.24,67.64,69.32,67.2,27163300
62,AFLT,2021-03-24,67.64,65.74,68.0,65.4,35331680
63,AFLT,2021-03-25,65.72,66.14,66.66,65.2,20438220
64,AFLT,2021-03-26,66.16,67.82,68.38,66.08,21746860
65,AFLT,2021-03-27,67.86,68.0,68.06,67.76,474330
66,AFLT,2021-03-29,67.94,67.46,68.28,67.2,13913990
